City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,porto velho,-8.7619,-63.9039,24.03,88,0,0.0,BR,1718607985
338,suva,-18.1416,178.4415,25.71,100,75,1.54,FJ,1718607983
339,andergrove,-21.0833,149.1833,20.83,62,100,3.56,AU,1718608161
340,visby,57.6409,18.296,18.91,63,0,2.57,SE,1718608011
341,los alamos,35.8881,-106.307,23.88,15,75,4.12,US,1718608163
342,letlhakeng,-24.0944,25.0298,14.48,68,0,5.03,BW,1718608164
343,horta,38.5333,-28.6333,19.45,84,20,1.79,PT,1718608165
344,vuktyl,63.8567,57.3094,16.73,53,49,5.81,RU,1718607922
345,kapit,2.0167,112.9333,31.42,62,100,1.07,MY,1718608063
346,norrtalje,59.758,18.705,15.24,75,100,1.61,SE,1718608169
347,kaka,37.3482,59.6143,37.04,16,13,5.31,TM,1718608170
348,praia,14.9215,-23.5087,22.69,85,100,3.46,CV,1718608171
349,posto fiscal rolim de moura,-13.0833,-62.2667,22.7,65,0,0.91,BR,1718608172
350,candelaria,13.9311,121.4233,30.22,75,100,1.03,PH,1718608173
351,phan thiet,10.9333,108.1,31.32,66,63,7.67,VN,1718608174
352,portland,45.5234,-122.6762,11.53,87,12,0.45,US,1718608029
353,woolgoolga,-30.1106,153.2007,16.93,62,44,7.13,AU,1718608177
354,tazacorte,28.629,-17.9293,19.54,64,75,5.14,ES,1718608178
355,peterhead,57.5058,-1.7981,11.36,87,95,5.23,GB,1718608179
356,bargaal,11.2864,51.0773,35.71,34,100,5.56,SO,1718608180
357,tobelo,1.7284,128.0095,27.98,78,100,0.66,ID,1718608181
358,sabha,27.0377,14.4283,34.66,16,0,6.55,LY,1718608182
359,santa cruz,-17.8,-63.1667,21.7,94,75,1.03,BO,1718608140
360,vrangel',42.7297,133.0839,17.82,75,5,2.5,RU,1718608186
361,tralee,52.2704,-9.7026,11.9,86,100,1.23,IE,1718608187
